Nombre,Ciudad,Tipo,Destinos que promueve,Programas,Contacto disponible,Fuente,Años,Afiliaciones,Riesgos,Score,Acción recomendada
CLASS Education,San Luis Potosí / México,Agencia educativa,"Irlanda; Canadá; Australia; Malta; Reino Unido","Idiomas; Educación superior; High School; Work & Study",https://classeducation.com,https://classeducation.com,30+,AMTE? ,Promueve múltiples programas; confirmar contacto regional,90,Validar contacto regional y modelo de colaboración
MEXAUPAIR Agency,Querétaro,Agencia Au Pair / cursos,"Irlanda (página específica); Reino Unido","Au pair; Cursos de inglés",https://www.mexaupair.com/irlanda.html,https://www.mexaupair.com,?,N/A,Puede centrarse en au pair/idiomas; confirmar si promueve universidades,75,Validar si puede promover universidades y contactabilidad (Qro)
Study World,México,Agency study abroad,"Irlanda; Canadá; Australia; Nueva Zelanda","Estudio y trabajo; Idiomas",https://www.studyworld.com.mx,https://www.studyworld.com.mx,?,N/A,Confirmar presencia en Bajío y programas superiores,82,Revisar presencia regional y oportunidades de colaboración
Work and Study Travel,LATAM/Internacional,Agencia study abroad,"Irlanda; Canadá; Alemania; España; Malta; Dubái; Australia; Nueva Zelanda","Estudio y trabajo; Idiomas",(sitio/LinkedIn por verificar),,?,N/A,Operación internacional; validar operación en México y contactos,80,Validar operación en México y contactos
IET Agencia Estudiantil,México,Agencia educativa,"Canadá; Reino Unido; EUA; Irlanda; Australia; Francia","Idiomas; Educación superior; Movilidad",(sitio/LinkedIn por verificar),,?,N/A,Confirmar presencia regional y programas de educación superior,80,Revisar presencia regional y programas
SEAL Internacional,México,Agencia educativa / viajes educativos,"Irlanda; Reino Unido; Malta; Australia; Canadá","Cursos de inglés; Asesoría en destinos",(sitio/LinkedIn por verificar),,?,N/A,Probable foco en idiomas; validar si maneja universidades,70,Validar si maneja universidades o solo idiomas/campamentos
LC Mundo,México,Agencia educativa,"Varios (licenciaturas; posgrados) - verificar destinos","Idiomas; Licenciatura; Postgrado; Maestría",(sitio/LinkedIn por verificar),,18+,N/A,Verificar destinos específicos y presencia regional,75,Verificar destinos específicos y presencia regional
Estudiantes por el Mundo/ MexiCanada,Morelia,Agencia educativa,"(por validar: incluye UK/Can/Irlanda?)","Idiomas; Intercambio; Asesoría",(sitio/LinkedIn por verificar),,AMTE? ,N/A,Señal regional; validar oferta para Irlanda,72,Validar destinos, contacto y experiencia con Irlanda
Universidad de Guanajuato,Guanajuato/León,Universidad local,"Programas de movilidad internacional - destinos varios","Movilidad interinstitucional; convenios",https://www.ugto.mx,https://www.ugto.mx,?,N/A,No es agencia; posible aliado institucional,68,Identificar oficina internacional y responsable
Universidad Anáhuac Querétaro,Querétaro,Universidad local,"Programas internacionales; doble titulación (UK/ES/IT)","Programas internacionales; convenios; movilidad",https://www.anahuac.mx/queretaro,https://www.anahuac.mx,?,N/A,Aliado institucional; no es agente comercial directo,65,Explorar como aliado institucional
